ID,NUMERO_IDENTIFICADOR,NOMBRE_ESTANDARIZADO,MARCA_ESTANDARIZADA
402,20947524,AUTOMOVIL,BMW
403,21019346,AUTOMOVIL,BMW
404,20967470,AUTOMOVIL,BMW
405,20963483,AUTOMOVIL,BMW
406,20958843,AUTOMOVIL,BMW
407,20949821,AUTOMOVIL,BMW
408,20994658,AUTOMOVIL,BMW
409,20947821,AUTOMOVIL,BMW
410,21019611,AUTOMOVIL,BMW
411,20992909,AUTOMOVIL,BMW
412,20979306,AUTOMOVIL,BMW
413,20996896,AUTOMOVIL,BMW
414,21031150,AUTOMOVIL,BMW
415,20962729,AUTOMOVIL,BMW
416,20956053,AUTOMOVIL,BMW
417,21012056,AUTOMOVIL,BMW
418,21023945,AUTOMOVIL,BMW
419,20993950,AUTOMOVIL,BMW
420,21013337,AUTOMOVIL,BMW
421,21024516,AUTOMOVIL,BMW
422,20960917,AUTOMOVIL,BMW
423,20985780,AUTOMOVIL,BMW
424,20981535,AUTOMOVIL,BMW
425,21011006,FURGON,MERCEDES BENZ
426,20985868,FURGON,MERCEDES BENZ
427,21016017,FURGON,MERCEDES BENZ
428,20946695,FURGON,MERCEDES BENZ
429,21016647,FURGON,MERCEDES BENZ
430,21018066,CAMION,RAM
431,21000145,CAMION,RAM
432,21009539,CAMION,RAM
433,21001700,CAMION,RAM
434,20947362,AUTOMOVIL,MERCEDES BENZ
435,20946202,AUTOMOVIL,MERCEDES BENZ
436,20957306,FURGON,MERCEDES BENZ
437,21006157,CAMION,MAXUS
438,21000588,AUTOMOVIL,MERCEDES BENZ
439,20975274,AUTOMOVIL,MERCEDES BENZ
440,20964408,AUTOMOVIL,MERCEDES BENZ
441,20976765,CHASSIS CABINA,MERCEDES BENZ
442,20979410,CAMION,MAXUS
443,20993606,AUTOMOVIL,MERCEDES BENZ
444,20988516,CHASSIS CABINA,MERCEDES BENZ
445,21025847,CHASSIS CABINA,MERCEDES BENZ
446,20999863,CHASSIS CABINA,MERCEDES BENZ
447,20978532,CHASSIS CABINA,MERCEDES BENZ
448,20966430,CHASSIS CABINA,MERCEDES BENZ
449,21001466,CHASSIS CABINA,MERCEDES BENZ
450,21002675,CHASSIS CABINA,MERCEDES BENZ
451,21010355,CHASSIS CABINA,MERCEDES BENZ
452,21027534,CHASSIS CABINA,MERCEDES BENZ
453,21010564,CHASSIS CABINA,MERCEDES BENZ
454,20973384,CHASSIS CABINA,MERCEDES BENZ
455,21025504,CHASSIS CABINA,MERCEDES BENZ
456,20953718,CHASSIS CABINA,MERCEDES BENZ
457,20984367,CHASSIS CABINA,MERCEDES BENZ
458,21029984,CHASSIS CABINA,MERCEDES BENZ
459,20983477,CHASSIS CABINA,MERCEDES BENZ
460,20999871,CHASSIS CABINA,MERCEDES BENZ
461,21021908,CHASSIS CABINA,MERCEDES BENZ
462,20967306,CHASSIS CABINA,MERCEDES BENZ
463,21009686,CHASSIS CABINA,MERCEDES BENZ
464,21011924,CHASSIS CABINA,MERCEDES BENZ
465,21023368,AUTOMOVIL,MERCEDES BENZ
466,20978081,AUTOMOVIL,MERCEDES BENZ
467,21019314,AUTOMOVIL,MERCEDES BENZ
468,20973361,AUTOMOVIL,MERCEDES BENZ
469,20960782,AUTOMOVIL,MERCEDES BENZ
470,20984197,AUTOMOVIL,MERCEDES BENZ
471,21002954,AUTOMOVIL,MERCEDES BENZ
472,21027347,AUTOMOVIL,MERCEDES BENZ
473,21017717,AUTOMOVIL,MERCEDES BENZ
474,20992485,AUTOMOVIL,MERCEDES BENZ
475,21020242,AUTOMOVIL,MERCEDES BENZ
476,20973307,AUTOMOVIL,MERCEDES BENZ
477,20974328,AUTOMOVIL,MERCEDES BENZ
478,20970332,AUTOMOVIL,MERCEDES BENZ
479,21014546,AUTOMOVIL,MERCEDES BENZ
480,20948567,AUTOMOVIL,NO ESPECIFICADA
481,21029399,AUTOMOVIL,NO ESPECIFICADA
482,20947832,AUTOMOVIL,NO ESPECIFICADA
483,21017343,AUTOMOVIL,NO ESPECIFICADA
484,20953696,AUTOMOVIL,NO ESPECIFICADA
485,20992576,AUTOMOVIL,NO ESPECIFICADA
486,20958053,AUTOMOVIL,MERCEDES BENZ
487,20965002,AUTOMOVIL,MERCEDES BENZ
488,21011951,AUTOMOVIL,MERCEDES BENZ
489,21005880,AUTOMOVIL,MERCEDES BENZ
490,20974080,CAMION,MAXUS
491,21007103,CAMION,MAXUS
492,20966678,CAMION,MAXUS
493,20960268,CAMION,MAXUS
494,21031674,CAMION,NO ESPECIFICADA
495,20959437,CAMION,NO ESPECIFICADA
496,21015729,CAMION,NO ESPECIFICADA
497,20984147,CAMION,NO ESPECIFICADA
498,20946115,AUTOMOVIL,MERCEDES BENZ
499,20996944,AUTOMOVIL,MERCEDES BENZ
500,21024690,AUTOMOVIL,MERCEDES BENZ
501,21028016,AUTOMOVIL,MERCEDES BENZ
502,21007880,AUTOMOVIL,MERCEDES BENZ
503,20956948,AUTOMOVIL,MERCEDES BENZ
504,21015434,AUTOMOVIL,DS
505,21014078,AUTOMOVIL,DS
506,20948284,AUTOMOVIL,BMW
507,21010441,AUTOMOVIL,BMW
508,21009992,AUTOMOVIL,BMW
509,20978372,AUTOMOVIL,BMW
510,20947787,AUTOMOVIL,BMW
511,20974934,AUTOMOVIL,BMW
512,21019796,AUTOMOVIL,BMW
513,21027044,AUTOMOVIL,BMW
514,21012371,AUTOMOVIL,BMW
515,21013364,AUTOMOVIL,BMW
516,20984140,AUTOMOVIL,BMW
517,20973403,AUTOMOVIL,BMW
518,20995658,AUTOMOVIL,BMW
519,21021076,AUTOMOVIL,BMW
520,20985571,AUTOMOVIL,BMW
521,20988204,AUTOMOVIL,BMW
522,21028344,AUTOMOVIL,BMW
523,21016833,AUTOMOVIL,BMW
524,20980427,AUTOMOVIL,BMW
525,21027038,AUTOMOVIL,BMW
526,20963919,AUTOMOVIL,BMW
527,21001087,AUTOMOVIL,BMW
528,21027207,AUTOMOVIL,BMW
529,20989978,AUTOMOVIL,BMW
530,20975276,AUTOMOVIL,BMW
531,20994275,AUTOMOVIL,BMW
532,21003744,AUTOMOVIL,BMW
533,20949641,VEHICULO TODO TERRENO,BOMBARDIER RECREATIONAL
534,20996310,AUTOMOVIL,MERCEDES BENZ
535,20965837,AUTOMOVIL,MERCEDES BENZ
536,20986554,AUTOMOVIL,MERCEDES BENZ
537,21016446,AUTOMOVIL,MERCEDES BENZ
538,20961484,AUTOMOVIL,MERCEDES BENZ
539,21015487,AUTOMOVIL,MERCEDES BENZ
540,20998911,AUTOMOVIL,JAC
541,20968855,AUTOMOVIL,DONGFENG MOTOR
542,21019409,AUTOMOVIL,CITROEN
543,20975618,AUTOMOVIL,CITROEN
544,20982546,AUTOMOVIL,CITROEN
545,20991035,AUTOMOVIL,CITROEN
546,20979395,AUTOMOVIL,CITROEN
547,20962807,AUTOMOVIL,CITROEN
548,20997202,AUTOMOVIL,CITROEN
549,21029308,AUTOMOVIL,CITROEN
550,20953188,AUTOMOVIL,CITROEN
551,20952376,AUTOMOVIL,BMW
552,20967129,AUTOMOVIL,BMW
553,20957027,AUTOMOVIL,BMW
554,20986732,AUTOMOVIL,BMW
555,20946737,AUTOMOVIL,BMW
556,20987167,AUTOMOVIL,BMW
557,20979091,AUTOMOVIL,BMW
558,20955261,AUTOMOVIL,BMW
559,20985505,AUTOMOVIL,BMW
560,20952701,CHASSIS CABINA,JAC
561,20947283,CHASSIS CABINA,JAC
562,20993328,BUS,ZHONGTONG
563,20952701,CAMION,JAC
564,20947283,CAMION,JAC
565,21009654,CAMION,JEEP
566,20968855,AUTOMOVIL,DONGFENG MOTOR
567,21013252,AUTOMOVIL,BMW
568,21021755,AUTOMOVIL,BMW
569,21011993,AUTOMOVIL,BMW
